id,season,week,season_type,start_date,neutral_site,conference_game,attendance,venue_id,venue,home_team,home_conference,home_points,home_q1,home_q2,home_q3,home_q4,away_team,away_conference,away_points,away_q1,away_q2,away_q3,away_q4
400603840,2015,1,regular,2015-09-03T18:00:00.000Z,true,false,51664,3628,Bank of America Stadium,South Carolina,SEC,17,0,10,0,7,North Carolina,ACC,13,7,6,0,0
400763593,2015,1,regular,2015-09-03T18:00:00.000Z,false,false,39184,3652,Bright House Networks Stadium,UCF,American Athletic,14,7,7,0,0,Florida International,Conference USA,15,3,0,6,6
400787299,2015,1,regular,2015-09-03T19:00:00.000Z,false,false,10473,3919,Scheumann Stadium,Ball State,Mid-American,48,3,17,14,14,VMI,,36,0,10,7,19
400756896,2015,1,regular,2015-09-03T19:00:00.000Z,false,false,27126,3630,BB&T Field,Wake Forest,ACC,41,3,21,14,3,Elon,,3,0,0,3,0
400763399,2015,1,regular,2015-09-03T19:00:00.000Z,false,false,19717,3786,Kelly/Shorts Stadium,Central Michigan,Mid-American,13,3,3,7,0,Oklahoma State,Big 12,24,3,7,7,7
400764854,2015,1,regular,2015-09-03T19:30:00.000Z,false,false,26113,3892,Rentschler Field,Connecticut,American Athletic,20,6,0,7,7,Villanova,,15,0,9,0,6
400756895,2015,1,regular,2015-09-03T19:30:00.000Z,false,false,49196,721,Bobby Dodd Stadium at Historic Grant Field,Georgia Tech,ACC,69,34,14,14,7,Alcorn State,,6,0,0,6,0
400603839,2015,1,regular,2015-09-03T20:00:00.000Z,false,false,30307,3973,Vanderbilt Stadium,Vanderbilt,SEC,12,0,3,0,9,Western Kentucky,Conference USA,14,0,0,7,7
400756883,2015,1,regular,2015-09-03T20:30:00.000Z,false,false,47825,587,Rice-Eccles Stadium,Utah,Pac-12,24,3,7,7,7,Michigan,Big Ten,17,0,3,7,7
400763398,2015,1,regular,2015-09-03T21:00:00.000Z,false,false,54147,3953,TCF Bank Stadium,Minnesota,Big Ten,17,0,3,7,7,TCU,Big 12,23,10,0,10,3
400787302,2015,1,regular,2015-09-03T21:00:00.000Z,false,false,11587,3791,Kibbie Dome,Idaho,,28,3,10,0,15,Ohio,Mid-American,45,21,7,3,14
400787110,2015,1,regular,2015-09-03T21:00:00.000Z,false,false,21209,3905,Romney Stadium,Utah State,Mountain West,12,5,0,0,7,Southern Utah,,9,6,3,0,0
400756894,2015,1,regular,2015-09-03T21:30:00.000Z,false,false,25470,4729,Benson Field at Yulman Stadium,Tulane,American Athletic,7,0,0,0,7,Duke,ACC,37,3,10,3,21
